id,filename,name
14256,icon_item_spear_1h_0091.dds,Fatesealer
14246,icon_item_dagger_0099.dds,Assassin's_Secret
14247,icon_item_dagger_0100.dds,Insanity_Point
11929,icon_item_sword_1h_0097.dds,Souldrinker
14248,icon_item_sword_1h_0099.dds,Endless_Thirst
14250,icon_item_blade_1h_0090.dds,Moonsong_Razor
14252,icon_item_axe_1h_0091.dds,Warden's_Justice
14258,icon_item_staff_1h_0090.dds,Jade_Dispair
14259,icon_item_staff_1h_0091.dds,Blind_Fate
14261,icon_item_bow_0094.dds,Deathfletcher
14262,icon_item_shield_0101.dds,Widowshroud
14249,icon_item_sword_2h_0076.dds,Kingsbane
14251,icon_item_blade_2h_0081.dds,Razor_Visage
14253,icon_item_axe_2h_0059.dds,Warlord's_Pride
14255,icon_item_mace_2h_0072.dds,Nui's_Devotion
14260,icon_item_staff_2h_0058.dds,Lidless_Rage
14257,icon_item_spear_2h_0073.dds,Stormhunter
14263,icon_item_ins_s_0072.dds,Enchanting_Scroll
14264,icon_item_ins_w_0059.dds,Wayfairing_Master
14254,icon_item_mace_1h_0087.dds,
